sf_code;sf_nd_code;sf_ad_code;sf_zp_code;sf_escal;sf_etage;sf_oper;sf_type;sf_prop;sf_resid;sf_local;sf_racco;sf_comment;sf_creadat;sf_majdate;sf_majsrc;sf_abddate;sf_abdsrc
SF716000000246;ND716000000455;AD710908000115;ZP716000000050;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000247;ND716000000456;AD710908000121;ZP716000000050;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000248;ND716000000457;AD710908000124;ZP716000000050;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000249;ND716000000458;AD710908000324;ZP716000000050;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000250;ND716000000459;AD710908000062;ZP716000000048;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000251;ND716000000460;AD710908000068;ZP716000000048;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000252;ND716000000461;AD710908000217;ZP716000000048;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000253;ND716000000462;AD710908000061;ZP716000000049;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000254;ND716000000462;AD710908000061;ZP716000000049;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000255;ND716000000463;AD710908000165;ZP716000000057;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000256;ND716000000464;AD710908000318;ZP716000000057;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000257;ND716000000465;AD710908000162;ZP716000000058;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000258;ND716000000466;AD710908000163;ZP716000000058;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000259;ND716000000467;AD710908000123;ZP716000000056;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000260;ND716000000468;AD710908000320;ZP716000000056;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000261;ND716000000469;AD710908000161;ZP716000000057;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000262;ND716000000470;AD710908000164;ZP716000000057;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000263;ND716000000471;AD710908000160;ZP716000000055;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000264;ND716000000471;AD710908000160;ZP716000000055;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000265;ND716000000472;AD710908000319;ZP716000000055;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000266;ND716000000473;AD710908000038;ZP716000000056;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000267;ND716000000474;AD710908000041;ZP716000000056;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000268;ND716000000475;AD710908000116;ZP716000000054;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000269;ND716000000476;AD710908000117;ZP716000000054;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000270;ND716000000477;AD710908000118;ZP716000000054;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000271;ND716000000478;AD710908000119;ZP716000000054;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000272;ND716000000479;AD710908000276;ZP716000000097;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000273;ND716000000480;AD710908000284;ZP716000000097;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000274;ND716000000481;AD710908000285;ZP716000000097;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000275;ND716000000482;AD710908000277;ZP716000000096;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000276;ND716000000483;AD710908000281;ZP716000000096;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000277;ND716000000484;AD710908000269;ZP716000000097;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000278;ND716000000485;AD710908000271;ZP716000000097;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000279;ND716000000486;AD710908000280;ZP716000000095;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000280;ND716000000487;AD710908000282;ZP716000000095;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000281;ND716000000488;AD710908000270;ZP716000000096;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000282;ND716000000489;AD710908000275;ZP716000000096;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000283;ND716000000491;AD710908000272;ZP716000000095;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000284;ND716000000492;AD710908000273;ZP716000000095;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000285;ND716000000493;AD710908000278;ZP716000000095;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000286;ND716000000494;AD710908000167;ZP716000000077;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000287;ND716000000495;AD710908000128;ZP716000000078;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000288;ND716000000496;AD710908000131;ZP716000000078;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000289;ND716000000497;AD710908000139;ZP716000000078;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000290;ND716000000498;AD710908000133;ZP716000000077;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000291;ND716000000500;AD710908000138;ZP716000000077;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000292;ND716000000501;AD710908000143;ZP716000000077;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000293;ND716000000502;AD710908000127;ZP716000000076;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000294;ND716000000503;AD710908000129;ZP716000000076;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000295;ND716000000504;AD710908000134;ZP716000000076;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000296;ND716000000505;AD710908000142;ZP716000000076;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000297;ND716000000506;AD710908000094;ZP716000000075;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000298;ND716000000507;AD710908000182;ZP716000000075;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000299;ND716000000508;AD710908000190;ZP716000000075;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000300;ND716000000509;AD710908000126;ZP716000000076;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000301;ND716000000510;AD710908000326;ZP716000000081;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000302;ND716000000511;AD710908000251;ZP716000000082;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000303;ND716000000512;AD710908000253;ZP716000000082;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000304;ND716000000513;AD710908000257;ZP716000000082;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000305;ND716000000514;AD710908000246;ZP716000000081;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000306;ND716000000515;AD710908000247;ZP716000000081;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000307;ND716000000516;AD710908000255;ZP716000000081;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000308;ND716000000517;AD710908000325;ZP716000000081;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000309;ND716000000518;AD710908000169;ZP716000000080;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000310;ND716000000519;AD710908000248;ZP716000000080;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000311;ND716000000520;AD710908000256;ZP716000000080;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000312;ND716000000521;AD710908000299;ZP716000000080;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000313;ND716000000522;AD710908000141;ZP716000000078;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000314;ND716000000523;AD710908000170;ZP716000000079;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000315;ND716000000524;AD710908000171;ZP716000000079;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000316;ND716000000525;AD710908000168;ZP716000000080;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000317;ND716000000526;AD710908000303;ZP716000000085;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000318;ND716000000528;AD710908000264;ZP716000000087;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000319;ND716000000529;AD710908000266;ZP716000000087;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000320;ND716000000530;AD710908000295;ZP716000000084;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000321;ND716000000531;AD710908000296;ZP716000000084;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000322;ND716000000532;AD710908000297;ZP716000000084;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000323;ND716000000533;AD710908000302;ZP716000000085;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000324;ND716000000534;AD710908000252;ZP716000000083;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000325;ND716000000535;AD710908000254;ZP716000000083;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000326;ND716000000536;AD710908000258;ZP716000000083;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000327;ND716000000537;AD710908000250;ZP716000000084;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000328;ND716000000538;AD710908000259;ZP716000000082;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000329;ND716000000539;AD710908000260;ZP716000000082;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000330;ND716000000540;AD710908000210;ZP716000000083;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000331;ND716000000541;AD710908000211;ZP716000000083;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000332;ND716000000543;AD710908000006;ZP716000000093;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000333;ND716000000544;AD710908000328;ZP716000000093;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000334;ND716000000546;AD710908000012;ZP716000000090;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000335;ND716000000547;AD710908000007;ZP716000000091;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000336;ND716000000548;AD710908000010;ZP716000000092;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000337;ND716000000549;AD710908000002;ZP716000000093;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000338;ND716000000550;AD710908000009;ZP716000000089;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000339;ND716000000551;AD710908000301;ZP716000000089;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000340;ND716000000552;AD710908000008;ZP716000000090;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000341;ND716000000553;AD710908000011;ZP716000000090;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000342;ND716000000554;AD710908000267;ZP716000000087;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000343;ND716000000555;AD710908000003;ZP716000000088;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000344;ND716000000556;AD710908000263;ZP716000000088;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000345;ND716000000557;AD710908000265;ZP716000000088;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000346;ND716000000263;AD710908000072;ZP716000000030;;;;P;;;;RB;;29/08/2022 00:00;;;;
SF716000000347;ND716000000291;AD710908000300;ZP716000000004;;;;P;;;;RB;;29/08/2022 00:00;;;;
SF716000000348;ND716000000427;AD710908000313;ZP716000000038;;;;P;;;;RB;;29/08/2022 00:00;;;;
SF716000000349;ND716000000490;AD710908000005;ZP716000000094;;;;P;;;;RB;;29/08/2022 00:00;;;;
SF716000000350;ND716000000499;AD710908000136;ZP716000000077;;;;P;;;;RB;;29/08/2022 00:00;;;;
SF716000000351;ND716000000527;AD710908000001;ZP716000000086;;;;P;;;;RB;;29/08/2022 00:00;;;;
SF716000000352;ND716000000542;AD710908000004;ZP716000000093;;;;P;;;;RB;;29/08/2022 00:00;;;;
SF716000000353;ND716000000545;AD710908000329;ZP716000000093;;;;P;;;;RB;;29/08/2022 00:00;;;;
SF716000000354;ND716000000555;AD710908000003;ZP716000000088;;;;P;;;;RB;;29/08/2022 00:00;;;;
