cd_code;cd_codeext;cd_etiquet;cd_cd_code;cd_r1_code;cd_r2_code;cd_r3_code;cd_r4_code;cd_prop;cd_gest;cd_user;cd_proptyp;cd_statut;cd_etat;cd_dateaig;cd_dateman;cd_datemes;cd_avct;cd_type;cd_dia_int;cd_dia_ext;cd_color;cd_long;cd_nbcable;cd_occup;cd_comment;cd_creadat;cd_majdate;cd_majsrc;cd_abddate;cd_abdsrc
CD716000000302;;;;;;;;OR710000000571;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000303;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000304;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000305;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000306;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000307;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000308;;;;;;;;OR710000000571;OR000000000005;;;REC;;;;;C;PVC;60;;;;;;TRADI 05;29/08/2022 00:00;;;;
CD716000000309;;;;;;;;OR710000000571;OR000000000005;;;REC;;;;;C;PVC;60;;;;;;TRADI 05;29/08/2022 00:00;;;;
CD716000000310;;;;;;;;OR710000000571;OR000000000005;;;REC;;;;;C;PVC;60;;;;;;TRADI 05;29/08/2022 00:00;;;;
CD716000000311;;;;;;;;OR710000000571;OR000000000005;;;REC;;;;;C;PVC;60;;;;;;TRADI 05;29/08/2022 00:00;;;;
CD716000000312;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000313;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000314;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000315;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000316;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000317;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000318;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000319;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000320;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000001;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000002;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000003;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000004;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000005;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000006;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000007;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000008;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000009;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000010;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000011;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000012;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000013;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000014;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000015;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000016;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000017;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000018;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000019;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000020;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000021;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000022;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000023;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000024;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000025;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000026;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000027;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000028;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000029;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000030;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000262;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000263;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000264;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000265;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000266;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000267;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000268;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000269;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000270;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000271;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000272;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000273;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000274;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000275;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000276;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000277;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000278;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000279;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000280;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000281;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000282;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000283;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000284;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000285;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000286;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000287;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000288;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000289;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000290;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000291;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000292;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000293;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000294;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000295;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000296;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000297;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000174;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/09/2023 00:00;;;;
