TABLE	code	libelle	definition
l_noeud_type	JX	DISJONCTION	Positionner un nœud de type disjonction lorsqu un cheminement se separe pour former par exemple un Y, sans qu il y ait pour autant de point technique physique au niveau de la disjonction (pas de manchonnage, pas de chambre, ...).
l_noeud_type	SH	SITE FTTH COMPLEXE	Immeuble raccorde a un reseau FTTH et accueillant notamment un ou des PBI
l_noeud_type	SC	SITE TECHNIQUE COMPLEXE	Site technique avec points techniques
l_noeud_type	PC	POINT TECHNIQUE COMPLEXE	
l_noeud_type	EC	SITE EMISSION COMPLEXE	
l_noeud_type	SP	SPECIFIQUE	
l_nro_type	PON	NRO-PON	
l_nro_type	PTP	NRO-PTP	
l_nro_type	PON-PTP	NRO-PON-PTP	
l_nro_etat	PL	PLANIFIE	
l_nro_etat	EC	EN COURS DE DEPLOIEMENT	En cours d installation, sans qu une definition precise n ait ete partagee en Interop.
l_nro_etat	DP	DEPLOYE	Installe. Doit alors etre mis a disposition des operateurs ayant achete le PM.
l_nro_etat	AB	ABANDONNE	Le PM est abandonne. Cet etat doit apparaitre pendant 3 mois.
l_occupation_type	0	VIDE	Infrastructure vide
l_occupation_type	1.1	NON VIDE EXPLOITABLE	Infrastructure non vide mais exploitable car rangee
l_occupation_type	1.2	NON VIDE NON EXPLOITABLE	Infrastructure non vide mais non exploitable car non rangee
l_occupation_type	2	SATUREE	Infrastructure saturee
l_passage_type	ACC	ACCOTEMENT	
l_passage_type	CHAU	CHAUSSEE	
l_passage_type	TROT	TROTTOIR	
l_passage_type	TER	TERRE	
l_passage_type	EMP	EMPIERRE	
l_passage_type	PON	PONT	
l_passage_type	SNC	PASSAGE SNCF	
l_passage_type	CAN	CANIVEAU TECHNIQUE	
l_passage_type	PAV	PAVES	
l_passage_type	AQU	AQUATIQUE	
l_passage_type	NC	NON COMMUNIQUE	
l_pose_type	NC	NON COMMUNIQUE	
l_pose_type	TRA	TRADITIONNELLE	
l_pose_type	MEC	MECANISEE	
l_pose_type	MIC	MICRO TRANCHEE	
l_pose_type	FOR	FORAGE DIRIGE	
l_pose_type	ENS	ENSOUILLAGE	
l_pose_type	FON	FONÇAGE	
l_pose_type	ENC	ENCORBELLEMENT	
l_pose_type	STU	SOUS-TUBAGE	Sous-tubage infra existante
l_position_fonction	CO	CONNECTEUR	
l_position_fonction	EP	EPISSURE	
l_position_fonction	PI	PIGTAIL	
l_position_fonction	AT	ATTENTE	
l_position_fonction	PA	PASSAGE	
l_position_type	CEA	CONNECTEUR E2000-APC	Connecteur a verrouillage de type push/pull avec protection poussiere. Polissage permettant d avoir une reflectance meilleure que -60dB.
l_position_type	CEU	CONNECTEUR E2000-UPC	Connecteur a verrouillage de type push/pull avec protection poussiere. Polissage permettant d avoir une reflectance meilleure que -50dB.
l_position_type	CEP	CONNECTEUR E2000-PC	Connecteur a verrouillage de type push/pull avec protection poussiere. Polissage permettant d avoir une reflectance meilleure que -30dB.
l_position_type	CFA	CONNECTEUR FC-APC	Connecteur a verrouillage a vis. Polissage permettant d avoir une reflectance meilleure que -60dB.
l_position_type	CFU	CONNECTEUR FC-UPC	Connecteur a verrouillage a vis. Polissage permettant d avoir une reflectance meilleure que -50dB.
l_position_type	CFP	CONNECTEUR FC-PC	Connecteur a verrouillage a vis. Polissage permettant d avoir une reflectance meilleure que -30dB.
l_position_type	CLA	CONNECTEUR LC-APC	Connecteur a verrouillage de type push/pull et par languette. Polissage permettant d avoir une reflectance meilleure que -60dB.
l_position_type	CLU	CONNECTEUR LC-UPC	Connecteur a verrouillage de type push/pull et par languette. Polissage permettant d avoir une reflectance meilleure que -50dB.
l_position_type	CLP	CONNECTEUR LC-PC	Connecteur a verrouillage de type push/pull et par languette. Polissage permettant d avoir une reflectance meilleure que -30dB.
l_position_type	CMA	CONNECTEUR MU-APC	Connecteur a verrouillage de type push/pull diametre 1.25mm. Polissage permettant d avoir une reflectance meilleure que -60dB.
l_position_type	CMU	CONNECTEUR MU-UPC	Connecteur a verrouillage de type push/pull diametre 1.25mm. Polissage permettant d avoir une reflectance meilleure que -50dB.
l_position_type	CMP	CONNECTEUR MU-PC	Connecteur a verrouillage de type push/pull diametre 1.25mm. Polissage permettant d avoir une reflectance meilleure que -30dB.
l_position_type	CSA	CONNECTEUR SC-APC	Connecteur a verrouillage de type push/pull diametre 2.5mm. Polissage permettant d avoir une reflectance meilleure que -60dB.
l_position_type	CSU	CONNECTEUR SC-UPC	Connecteur a verrouillage de type push/pull diametre 2.5mm. Polissage permettant d avoir une reflectance meilleure que -50dB.
l_position_type	CSP	CONNECTEUR SC-PC	Connecteur a verrouillage de type push/pull diametre 2.5mm. Polissage permettant d avoir une reflectance meilleure que -30dB.
l_position_type	CTU	CONNECTEUR ST-UPC	Connecteur a verrouillage de type baionnette. Polissage permettant d avoir une reflectance meilleure que -50dB.
l_position_type	CTP	CONNECTEUR ST-PC	Connecteur a verrouillage de type baionette. Polissage permettant d avoir une reflectance meilleure que -30dB.
l_position_type	CPO	CONNECTEUR MT MPO	Fiche polymère intégrant plusieurs fibres SM ou MM. MTRJ pour la version 2 fibres.
l_position_type	SFU	SOUDURE FUSION	Raccordement sous l effet d une chaleur intense avec une soudeuse.
l_position_type	SME	SOUDURE MECANIQUE	Raccordement mecanique, generalement par sertissage.
l_propriete_type	CST	CONSTRUCTION	
l_propriete_type	RAC	RACHAT	
l_propriete_type	CES	CESSION	
l_propriete_type	IRU	IRU	
l_propriete_type	LOC	LOCATION	
l_propriete_type	OCC	OCCUPATION	Convention d occupation
l_ptech_nature	A1	CHAMBRE A1	
l_ptech_nature	A2	CHAMBRE A2	
l_ptech_nature	A3	CHAMBRE A3	
l_ptech_nature	A4	CHAMBRE A4	
l_ptech_nature	A10	CHAMBRE A10	
l_ptech_nature	A11	CHAMBRE A11	
l_ptech_nature	A12	CHAMBRE A12	
l_ptech_nature	A13	CHAMBRE A13	
l_ptech_nature	A14	CHAMBRE A14	
l_ptech_nature	A15	CHAMBRE A15	
l_ptech_nature	A16	CHAMBRE A16	
l_ptech_nature	A17	CHAMBRE A17	
l_ptech_nature	A18	CHAMBRE A18	
l_ptech_nature	B1	CHAMBRE B1	
l_ptech_nature	B2	CHAMBRE B2	
l_ptech_nature	B3	CHAMBRE B3	
l_ptech_nature	B4	CHAMBRE B4	
l_ptech_nature	C1	CHAMBRE C1	
l_ptech_nature	C2	CHAMBRE C2	
l_ptech_nature	C3	CHAMBRE C3	
l_ptech_nature	C4	CHAMBRE C4	
l_ptech_nature	D1	CHAMBRE D1	
l_ptech_nature	D1C	CHAMBRE D1C	
l_ptech_nature	D1T	CHAMBRE D1T	
l_ptech_nature	D2	CHAMBRE D2	
l_ptech_nature	D2C	CHAMBRE D2C	
l_ptech_nature	D2T	CHAMBRE D2T	
l_ptech_nature	D3	CHAMBRE D3	
l_ptech_nature	D3C	CHAMBRE D3C	
l_ptech_nature	D3T	CHAMBRE D3T	
l_ptech_nature	D4	CHAMBRE D4	
l_ptech_nature	D4C	CHAMBRE D4C	
l_ptech_nature	D4T	CHAMBRE D4T	
l_ptech_nature	D5	CHAMBRE D5	
l_ptech_nature	D5C	CHAMBRE D5C	
l_ptech_nature	D6	CHAMBRE D6	
l_ptech_nature	D6C	CHAMBRE D6C	
l_ptech_nature	D11	CHAMBRE D11	
l_ptech_nature	D12	CHAMBRE D12	
l_ptech_nature	D13	CHAMBRE D13	
l_ptech_nature	D14	CHAMBRE D14	
l_ptech_nature	E1	CHAMBRE E1	
l_ptech_nature	E2	CHAMBRE E2	
l_ptech_nature	E3	CHAMBRE E3	
l_ptech_nature	E4	CHAMBRE E4	
l_ptech_nature	J2C	CHAMBRE J2C	
l_ptech_nature	J2CR	CHAMBRE J2C REHAUSSEE	
l_ptech_nature	K1C	CHAMBRE K1C	
l_ptech_nature	K1CR	CHAMBRE K1C REHAUSSEE	
l_ptech_nature	K1T	CHAMBRE K1T	
l_ptech_nature	K2C	CHAMBRE K2C	
l_ptech_nature	K2CR	CHAMBRE K2C REHAUSSEE	
l_ptech_nature	K2T	CHAMBRE K2T	
l_ptech_nature	K3C	CHAMBRE K3C	
l_ptech_nature	K3CR	CHAMBRE K3C REHAUSSEE	
l_ptech_nature	K3T	CHAMBRE K3T	
l_ptech_nature	L0T	CHAMBRE L0T	
l_ptech_nature	L0TR	CHAMBRE L0T REHAUSSEE	
l_ptech_nature	L1C	CHAMBRE L1C	
l_ptech_nature	L1T	CHAMBRE L1T	
l_ptech_nature	L1TR	CHAMBRE L1T REHAUSSEE	
l_ptech_nature	L2C	CHAMBRE L2C	
l_ptech_nature	L2T	CHAMBRE L2T	
l_ptech_nature	L2TR	CHAMBRE L2T REHAUSSEE	
l_ptech_nature	L3C	CHAMBRE L3C	
l_ptech_nature	L3T	CHAMBRE L3T	
l_ptech_nature	L3TR	CHAMBRE L3T REHAUSSEE	
l_ptech_nature	L4C	CHAMBRE L4C	
l_ptech_nature	L4T	CHAMBRE L4T	
l_ptech_nature	L4TR	CHAMBRE L4T REHAUSSEE	
l_ptech_nature	L5C	CHAMBRE L5C	
l_ptech_nature	L5T	CHAMBRE L5T	
l_ptech_nature	L5TR	CHAMBRE L5T REHAUSSEE	
l_ptech_nature	L6T	CHAMBRE L6T	
l_ptech_nature	L6TR	CHAMBRE L6T REHAUSSEE	
l_ptech_nature	M1C	CHAMBRE M1C	
l_ptech_nature	M1CR	CHAMBRE M1C REHAUSSEE	
l_ptech_nature	M2T	CHAMBRE M2T	
l_ptech_nature	M2TR	CHAMBRE M2T REHAUSSEE	
l_ptech_nature	M3C	CHAMBRE M3C	
l_ptech_nature	M3CR	CHAMBRE M3C REHAUSSEE	
l_ptech_nature	P1C	CHAMBRE P1C	
l_ptech_nature	P1CR	CHAMBRE P1C REHAUSSEE	
l_ptech_nature	P1T	CHAMBRE P1T	
l_ptech_nature	P1TR	CHAMBRE P1T REHAUSSEE	
l_ptech_nature	P2C	CHAMBRE P2C	
l_ptech_nature	P2CR	CHAMBRE P2C REHAUSSEE	
l_ptech_nature	P2T	CHAMBRE P2T	
l_ptech_nature	P2TR	CHAMBRE P2T REHAUSSEE	
l_ptech_nature	P3C	CHAMBRE P3C	
l_ptech_nature	P3T	CHAMBRE P3T	
l_ptech_nature	P4C	CHAMBRE P4C	
l_ptech_nature	P4T	CHAMBRE P4T	
l_ptech_nature	P5C	CHAMBRE P5C	
l_ptech_nature	P5T	CHAMBRE P5T	
l_ptech_nature	P6C	CHAMBRE P6C	
l_ptech_nature	P6T	CHAMBRE P6T	
l_ptech_nature	R1T	CHAMBRE R1T	
l_ptech_nature	R2T	CHAMBRE R2T	
l_ptech_nature	R3T	CHAMBRE R3T	
l_ptech_nature	S1	CHAMBRE S1	SNCF Reseau : Chambre prefabriquee aux dimensions standardisees.
l_ptech_nature	S2	CHAMBRE S2	SNCF Reseau : Chambre prefabriquee aux dimensions standardisees.
l_ptech_nature	S3	CHAMBRE S3	SNCF Reseau : Chambre prefabriquee aux dimensions standardisees.
l_ptech_nature	S4	CHAMBRE S4	SNCF Reseau : Chambre prefabriquee aux dimensions standardisees.
l_ptech_nature	S5	CHAMBRE S5	SNCF Reseau : Chambre prefabriquee aux dimensions standardisees.
l_ptech_nature	S6	CHAMBRE S6	SNCF Reseau : Chambre prefabriquee aux dimensions standardisees.
l_ptech_nature	S6bis	CHAMBRE S6bis	SNCF Reseau : Chambre prefabriquee aux dimensions standardisees.
l_ptech_nature	S7	CHAMBRE S7	SNCF Reseau : Chambre prefabriquee aux dimensions standardisees.
l_ptech_nature	TU1	CHAMBRE TU1	SNCF Reseau : chambre avec trappes unifiees.
l_ptech_nature	TU2	CHAMBRE TU2	SNCF Reseau : chambre avec trappes unifiees.
l_ptech_nature	TU4	CHAMBRE TU4	SNCF Reseau : chambre avec trappes unifiees.
l_ptech_nature	TU6	CHAMBRE TU6	SNCF Reseau : chambre avec trappes unifiees.
l_ptech_nature	TU8	CHAMBRE TU8	SNCF Reseau : chambre avec trappes unifiees.
l_ptech_nature	TU10	CHAMBRE TU10	SNCF Reseau : chambre avec trappes unifiees.
l_ptech_nature	OHN	OUVRAGE HORS NORMES	
l_ptech_nature	PBOI	POTEAU BOIS	
l_ptech_nature	PBET	POTEAU BETON	
l_ptech_nature	PMET	POTEAU METAL	
l_ptech_nature	PIND	POTEAU INDETERMINE	
l_ptech_nature	POTL	POTELET	
l_ptech_nature	BOU	BOUCHON	
l_ptech_nature	REG	REGARD 30X30	
l_ptech_nature	BAL	BALCON	
l_ptech_nature	CRO	CROCHET	
l_ptech_nature	FAI	FAITIERE	
l_ptech_nature	STR	SOUTERRAIN	
l_ptech_nature	SSO	SOUS-SOL	
l_ptech_nature	TRA	TRAVERSE	
l_ptech_nature	Y	SITE MANCHONNAGE Y	Fenêtre ouverture sur fourreaux existant pour mise en Y
l_ptech_nature	IND	INDETERMINE	
l_ptech_type_log	T	TIRAGE	
l_ptech_type_log	R	RACCORDEMENT	
l_ptech_type_log	I	INDETERMINE	
l_ptech_type_phy	A	APPUI	
l_ptech_type_phy	C	CHAMBRE	
l_ptech_type_phy	F	ANCRAGE FACADE	
l_ptech_type_phy	I	IMMEUBLE	
l_ptech_type_phy	Z	AUTRE	
l_qualite_info	VA	VALIDE	
l_qualite_info	TH	THEORIQUE	
l_qualite_info	NC	NON COMMUNIQUE	
l_reference_etat	A	ACTIVE	
l_reference_etat	N	NON DISPONIBLE	
l_reference_type	BA	BAIE	
l_reference_type	BP	BPE	
l_reference_type	CA	CABLE	
l_reference_type	CS	CASSETTE	
l_reference_type	EQ	EQUIPEMENT	
l_reference_type	PT	POINT TECHNIQUE	
l_reference_type	TI	TIROIR	
l_site_emission_type	RADIO	RADIODIFFUSION	
l_site_emission_type	TEL	RADIO TELEPHONIE	
l_site_emission_type	BLR	BOUCLE LOCALE RADIO	
l_site_emission_type	FH	FAISCEAU HERTZIEN	
l_site_emission_type	WIFI	WIFI	
l_site_emission_type	WIMAX	WIMAX	
l_site_type_log	NRA	NŒUD RACCORDEMENT D ABONNES	
l_site_type_log	NRAHD	NŒUD RACCORDEMENT D ABONNES - HAUT DEBIT	
l_site_type_log	NRAMED	NŒUD RACCORDEMENT D ABONNES - MONTEE EN DEBIT	
l_site_type_log	NRAZO	NŒUD RACCORDEMENT D ABONNES - ZONE D OMBRE	
l_site_type_log	SRP	SOUS-REPARTITEUR CUIVRE PRIMAIRE	
l_site_type_log	SRS	SOUS-REPARTITEUR CUIVRE SECONDAIRE	
l_site_type_log	SRT	SOUS-REPARTITEUR CUIVRE TERTIAIRE	
l_site_type_log	NRO	NŒUD RACCORDEMENT OPTIQUE	
l_site_type_log	SRO	SOUS-REPARTITEUR OPTIQUE	
l_site_type_log	SROL	SOUS-REPARTITEUR OPTIQUE COLOCALISE	Sous-repartiteur localise dans le NRO.
l_site_type_log	BRASSAGE	SITE DE BRASSAGE	Site non prevu pour heberger des equipements actifs (surtout longue distance)
l_site_type_log	CLIENT	SITE CLIENT	Site entreprise ou administration qui n est pas un site utilisateur final (SUF).
l_site_type_log	HEBERG	SITE HEBERGEMENT	Site d hebergement d equipements actifs qui n est pas un NRO (hors architecture FTTH).
l_site_type_phy	ADR	ARMOIRE DE RUE	
l_site_type_phy	BAT	BATIMENT	
l_site_type_phy	COF	COFFRET	Notamment coffrets qui peuvent etre fixes sur des appuis et qui font office d armoires.
l_site_type_phy	SHE	SHELTER	
l_sro_etat	PL	PLANIFIE	
l_sro_etat	EC	EN COURS DE DEPLOIEMENT	En cours d installation, sans qu une definition precise n ait ete partagee en Interop.
l_sro_etat	DP	DEPLOYE	Installe. Doit alors etre mis a disposition des operateurs ayant achete le PM.
l_sro_etat	AB	ABANDONNE	Le PM est abandonne. Cet etat doit apparaitre pendant 3 mois.
l_sro_emplacement	ADR	PME-ARMOIRE DE RUE	PM Exterieur au sens de la reglementation, contenu dans une armoire de rue.
l_sro_emplacement	SHE	PME-SHELTER	PM Exterieur au sens de la reglementation, contenu dans un shelter
l_sro_emplacement	LTE	PME-LOCAL TECHNIQUE	PM Exterieur au sens de la reglementation, contenu dans un local technique, par exemple NRO.
l_sro_emplacement	PME	PM-EXTERIEUR	PM Exterieur au sens de la reglementation, dont l information du contenu n est pas disponible dans le SI de l OI.
l_sro_emplacement	PMI	PM-INTERIEUR	Situe dans une partie privative necessitant l accord d un tiers (syndic, gestionnaire) en plus de l accord de l OI.
l_statut	PRE	ETUDE PRELIMINAIRE	Resultat de l etude preliminaire, au sens du decret d application de la loi MOP (n°93-1268 du 29 nov. 1993) : premiere etude de faisabilite pour la construction d ouvrages neufs
l_statut	DIA	ETUDE DE DIAGNOSTIC	Resultat de l etude de diagnostic, au sens du decret d application de la loi MOP (n°93-1268 du 29 nov. 1993) : pour une operation de reutilisation ou de rehabilitation d un ouvrage existant, etat des lieux, analyse technique, etudes complementaires
l_statut	AVP	AVANT-PROJET	Resultat de l etude d avant-Projet, au sens du decret d application de la loi MOP (n°93-1268 du 29 nov. 1993) : confirmation de la faisabilite, premiere implantation de l ouvrage, autorisations administratives
l_statut	PRO	PROJET	Resultat de l etude de projet, au sens du decret d application de la loi MOP (n°93-1268 du 29 nov. 1993) : precise les choix techniques, fixe l implantation topographique, les caracteristiques et le dimensionnement
l_statut	ACT	T	Resultat de la mission d assistance a la passation des marches de travaux, au sens du decret d application de la loi MOP (n°93-1268 du 29 nov. 1993) : mise a jour eventuelle de l etude projet
l_statut	EXE	ETUDE D EXECUTION	Resultat de l etude d execution, au sens du decret d application de la loi MOP (n°93-1268 du 29 nov. 1993) : elaboration des documents a l usage du chantier. Le resultat de cette etude donne generalement lieu a un VISA du maître d oeuvre.
l_statut	TVX	TRAVAUX	Resultat des missions de direction de l execution des travaux, d ordonnancement, de coordination et de pilotage ; ainsi que les operations prealables a la reception des travaux, au sens du decret d application de la loi MOP (n°93-1268 du 29 nov. 1993)
l_statut	REC	RECOLEMENT	Resultat de la mission d assistance a la reception des travaux, au sens du decret d application de la loi MOP (n°93-1268 du 29 nov. 1993) : inclus le recolement des ouvrages et la realisation du Dossier des Ouvrages Executes
l_statut	MCO	MAINTIENT EN CONDITIONS OPERATIONNELLES	Le statut MCO permet d identifier les objets qui font l objet d une operation de maintenance, avant le passage en statut REC une fois l operation achevee et son recolement realise
l_suf_racco	AB	ABONNE	Logement dont l occupant a souscrit un abonnement a une offre d un operateur commercial sur un reseau en fibre optique jusqu a l abonne.
l_suf_racco	RA	RACCORDE	Logement pour lequel il existe une continuite entre le PM et la PTO.
l_suf_racco	RB	RACCORDABLE	Logement pour lequel il existe une continuite optique entre le PM et le PBO, ou entre le PM et la PTO si le PBO est absent.
l_suf_racco	RD	RACCORDABLE SUR DEMANDE	Deploiement differe de PBO sous certaines conditions.
l_suf_racco	EL	ELIGIBLE	Logement pour lequel au moins un operateur a relie le point de mutualisation a son NRO, et pour lequel il manque seulement le raccordement final et un eventuel  brassage au PM pour avoir une continuite optique entre le NRO et la PTO.
l_suf_racco	EM	ELIGIBLE MUTUALISE	Logement eligible pour lequel plusieurs operateurs ont relie le PM a leur NRO.
l_suf_racco	PR	PROGRAMME	Logement situe dans la zone arriere d un PM pour lequel le PM a ete installe et mis  a disposition des operateurs tiers, au sens de l annexe OO de la decision 2009-1106.
l_suf_type	R	RESIDENTIEL	
l_suf_type	P	PROFESSIONNEL	
l_suf_type	O	OPERATEUR	
l_suf_type	T	TECHNIQUE	
l_technologie_type	CUT	CUIVRE TELECOM	
l_technologie_type	OPT	OPTIQUE	
l_technologie_type	COA	COAXIAL	
l_technologie_type	ECL	ECLAIRAGE	
l_technologie_type	ELE	ELECTRICITE	
l_technologie_type	VID	VIDEO PROTECTION	
l_technologie_type	RAD	RADIO	
l_tiroir_type	TIROIR	TIROIR	
l_tiroir_type	TETE	TETE DE CABLE	
l_tube	1	SOUS FAISCEAU ROUGE UNE BAGUE COURTE	
l_tube	2	SOUS FAISCEAU BLEU DEUX BAGUES COURTES	
l_tube	3	SOUS FAISCEAU VERT TROIS BAGUES COURTES	
l_tube	4	SOUS FAISCEAU JAUNE QUATRE BAGUES COURTES	
l_tube	5	SOUS FAISCEAU VIOLET UNE BAGUE LONGUE	
l_tube	6	SOUS FAISCEAU BLANC UNE BAGUE LONGUE ET UNE BAGUE COURTE	
l_tube	1.1	ROUGE (R)	#FF0000 - Standard Orange
l_tube	1.2	BLEU (BL)	#0070C0 - Standard Orange
l_tube	1.3	VERT (VE)	#92D050 - Standard Orange
l_tube	1.4	JAUNE (J)	#FFFF00 - Standard Orange
l_tube	1.5	VIOLET (V)	#7638A3 - Standard Orange
l_tube	1.6	BLANC (B)	#FFFFFF - Standard Orange
l_tube	1.7	ORANGE (OR)	#FFC000 - Standard Orange
l_tube	1.8	GRIS (GR)	#C1C1C1 - Standard Orange
l_tube	1.9	MARRON (BR)	#993300 - Standard Orange
l_tube	1.10	NOIR (N)	#000000 - Standard Orange
l_tube	1.11	TURQUOISE (TU)	#00B0F0 - Standard Orange
l_tube	1.12	ROSE (RS)	#FF65CC - une bague noire - Standard Orange
l_tube	1.13	ROUGE (R) UNE BAGUE NOIRE	#FF0000 - une bague noire - Standard Orange
l_tube	1.14	BLEU (BL) UNE BAGUE NOIRE	#0070C0 - une bague noire - Standard Orange
l_tube	1.15	VERT (VE) UNE BAGUE NOIRE	#92D050 - une bague noire - Standard Orange
l_tube	1.16	JAUNE (J) UNE BAGUE NOIRE	#FFFF00 - une bague noire - Standard Orange
l_tube	1.17	VIOLET (V) UNE BAGUE NOIRE	#7638A3 - une bague noire - Standard Orange
l_tube	1.18	BLANC (B) UNE BAGUE NOIRE	#FFFFFF - une bague noire - Standard Orange
l_tube	1.19	ORANGE (OR) UNE BAGUE NOIRE	#FFC000 - une bague noire - Standard Orange
l_tube	1.20	GRIS (GR) UNE BAGUE NOIRE	#C1C1C1 - une bague noire - Standard Orange
l_tube	1.21	MARRON (BR) UNE BAGUE NOIRE	#993300 - une bague noire - Standard Orange
l_tube	1.22	NOIR (N) UNE BAGUE NOIRE	#000000 - une bague noire - Standard Orange
l_tube	1.23	TURQUOISE (TU) UNE BAGUE NOIRE	#00B0F0 - une bague noire - Standard Orange
l_tube	1.24	ROSE (RS) UNE BAGUE NOIRE	#FF65CC - une bague noire - Standard Orange
l_tube	1.25	ROUGE (R) DEUX BAGUES NOIRES	#FF0000 - deux bagues noires - Standard Orange
l_tube	1.26	BLEU (BL) DEUX BAGUES NOIRES	#0070C0 - deux bagues noires - Standard Orange
l_tube	1.27	VERT (VE) DEUX BAGUES NOIRES	#92D050 - deux bagues noires - Standard Orange
l_tube	1.28	JADEUX (J) DEUX BAGUES NOIRES	#FFFF00 - deux bagues noires - Standard Orange
l_tube	1.29	VIOLET (V) DEUX BAGUES NOIRES	#7638A3 - deux bagues noires - Standard Orange
l_tube	1.30	BLANC (B) DEUX BAGUES NOIRES	#FFFFFF - deux bagues noires - Standard Orange
l_tube	1.31	ORANGE (OR) DEUX BAGUES NOIRES	#FFC000 - deux bagues noires - Standard Orange
l_tube	1.32	GRIS (GR) DEUX BAGUES NOIRES	#C1C1C1 - deux bagues noires - Standard Orange
l_tube	1.33	MARRON (BR) DEUX BAGUES NOIRES	#993300 - deux bagues noires - Standard Orange
l_tube	1.34	NOIR (N) DEUX BAGUES NOIRES	#000000 - deux bagues noires - Standard Orange
l_tube	1.35	TURQUOISE (TU) DEUX BAGUES NOIRES	#00B0F0 - deux bagues noires - Standard Orange
l_tube	1.36	ROSE (RS) DEUX BAGUES NOIRES	#FF65CC - deux bagues noires - Standard Orange
l_tube	1.37	ROUGE (R) TROIS BAGUES NOIRES	#FF0000 - trois bagues noires - Standard Orange
l_tube	1.38	BLEU (BL) TROIS BAGUES NOIRES	#0070C0 - trois bagues noires - Standard Orange
l_tube	1.39	VERT (VE) TROIS BAGUES NOIRES	#92D050 - trois bagues noires - Standard Orange
l_tube	1.40	JATROIS (J) TROIS BAGUES NOIRES	#FFFF00 - trois bagues noires - Standard Orange
l_tube	1.41	VIOLET (V) TROIS BAGUES NOIRES	#7638A3 - trois bagues noires - Standard Orange
l_tube	1.42	BLANC (B) TROIS BAGUES NOIRES	#FFFFFF - trois bagues noires - Standard Orange
l_tube	1.43	ORANGE (OR) TROIS BAGUES NOIRES	#FFC000 - trois bagues noires - Standard Orange
l_tube	1.44	GRIS (GR) TROIS BAGUES NOIRES	#C1C1C1 - trois bagues noires - Standard Orange
l_tube	1.45	MARRON (BR) TROIS BAGUES NOIRES	#993300 - trois bagues noires - Standard Orange
l_tube	1.46	NOIR (N) TROIS BAGUES NOIRES	#000000 - trois bagues noires - Standard Orange
l_tube	1.47	TURQUOISE (TU) TROIS BAGUES NOIRES	#00B0F0 - trois bagues noires - Standard Orange
l_tube	1.48	ROSE (RS) TROIS BAGUES NOIRES	#FF65CC - trois bagues noires - Standard Orange
l_tube	1.49	ROUGE (R) QUATRE BAGUES NOIRES	#FF0000 - quatre bagues noires - Standard Orange
l_tube	1.50	BLEU (BL) QUATRE BAGUES NOIRES	#0070C0 - quatre bagues noires - Standard Orange
l_tube	1.51	VERT (VE) QUATRE BAGUES NOIRES	#92D050 - quatre bagues noires - Standard Orange
l_tube	1.52	JAQUATRE (J) QUATRE BAGUES NOIRES	#FFFF00 - quatre bagues noires - Standard Orange
l_tube	1.53	VIOLET (V) QUATRE BAGUES NOIRES	#7638A3 - quatre bagues noires - Standard Orange
l_tube	1.54	BLANC (B) QUATRE BAGUES NOIRES	#FFFFFF - quatre bagues noires - Standard Orange
l_tube	1.55	ORANGE (OR) QUATRE BAGUES NOIRES	#FFC000 - quatre bagues noires - Standard Orange
l_tube	1.56	GRIS (GR) QUATRE BAGUES NOIRES	#C1C1C1 - quatre bagues noires - Standard Orange
l_tube	1.57	MARRON (BR) QUATRE BAGUES NOIRES	#993300 - quatre bagues noires - Standard Orange
l_tube	1.58	NOIR (N) QUATRE BAGUES NOIRES	#000000 - quatre bagues noires - Standard Orange
l_tube	1.59	TURQUOISE (TU) QUATRE BAGUES NOIRES	#00B0F0 - quatre bagues noires - Standard Orange
l_tube	1.60	ROSE (RS) QUATRE BAGUES NOIRES	#FF65CC - quatre bagues noires - Standard Orange
l_tube	1.61	ROUGE (R) CINQ BAGUES NOIRES	#FF0000 - cinq bagues noires - Standard Orange
l_tube	1.62	BLEU (BL) CINQ BAGUES NOIRES	#0070C0 - cinq bagues noires - Standard Orange
l_tube	1.63	VERT (VE) CINQ BAGUES NOIRES	#92D050 - cinq bagues noires - Standard Orange
l_tube	1.64	JACINQ (J) CINQ BAGUES NOIRES	#FFFF00 - cinq bagues noires - Standard Orange
l_tube	1.65	VIOLET (V) CINQ BAGUES NOIRES	#7638A3 - cinq bagues noires - Standard Orange
l_tube	1.66	BLANC (B) CINQ BAGUES NOIRES	#FFFFFF - cinq bagues noires - Standard Orange
l_tube	1.67	ORANGE (OR) CINQ BAGUES NOIRES	#FFC000 - cinq bagues noires - Standard Orange
l_tube	1.68	GRIS (GR) CINQ BAGUES NOIRES	#C1C1C1 - cinq bagues noires - Standard Orange
l_tube	1.69	MARRON (BR) CINQ BAGUES NOIRES	#993300 - cinq bagues noires - Standard Orange
l_tube	1.70	NOIR (N) CINQ BAGUES NOIRES	#000000 - cinq bagues noires - Standard Orange
l_tube	1.71	TURQUOISE (TU) CINQ BAGUES NOIRES	#00B0F0 - cinq bagues noires - Standard Orange
l_tube	1.72	ROSE (RS) CINQ BAGUES NOIRES	#FF65CC - cinq bagues noires - Standard Orange
l_zone_densite	2	ZTD BASSE DENSITE	
l_zone_densite	3	ZMD	
			
			
			
			
			
			
			
			
		able	
